id,centroidX,centroidY
1,108.796549128,34.1057933022
2,109.03913347,35.1957759051
3,107.205039,34.3777853636
4,108.394647634,34.784110229
5,109.855716062,34.9480431876
6,109.320863339,36.4370784552
7,107.107316007,33.0888459133
8,109.570992951,38.0387546915
9,108.930793398,32.7558474867
10,109.906097391,33.6459697715
